verb_class,noun_class,avg_mae,avg_quality_score,avg_output
1,73,0.2766686545477973,0.7222222222222222,0.4489631
9,27,0.27568034000843233,0.41821594321594324,0.36762968
7,16,0.27552898091824907,0.5206106794221549,0.4303037
0,48,0.27533137798309326,0.0,0.27533138
3,46,0.2745080010758506,0.2222222222222222,0.4967302
0,140,0.2738150954246521,0.0,0.2738151
0,129,0.2735100073946847,0.7222222222222222,0.44871223
2,21,0.2735001268210235,0.2962962962962963,0.5697964
1,15,0.2727903573362677,0.14189189189189186,0.41468224
15,29,0.2726292701231109,0.2222222222222222,0.4948515
26,23,0.2720494137869941,0.7222222222222222,0.56375355
5,70,0.2712072564495934,0.7222222222222222,0.45101497
0,52,0.27065966847377043,0.3605130784708249,0.42254618
22,28,0.2699262814389335,0.2222222222222222,0.49214852
84,161,0.2699085490571128,0.2222222222222222,0.49213076
0,37,0.26938498348910767,0.3249067773805405,0.49893308
1,21,0.26905368678889846,0.17526395173453999,0.4248665
0,10,0.26766305506577964,0.57046783625731,0.47222894
4,12,0.26640342719310767,0.3516301661395731,0.36725223
1,1,0.2656176180195622,0.4514525426000836,0.39685553
0,4,0.26417303589559876,0.4245110904372446,0.47516668
1,38,0.2618087139484985,0.5043183940242764,0.38477552
